modelo,enc,imp,norm,sel,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,status
MLP,onehot,interpolacao,minmax,selectfrommodel,5,0.46253068616198306,0.0035021735490274584,0.33843225392683796,0.0025644775952062752,0.08070884791040586,0.00046968500856216065,0.8864931825869036,0.001748307022813124,ok
MLP,onehot,mediana,quantile,selectfrommodel,5,0.46398419259739193,0.004412025997701355,0.3385683706375079,0.003687561950966434,0.08090644708070653,0.0007732804856017539,0.8857778246091946,0.002242446250229459,ok
MLP,onehot,interpolacao,quantile,selectfrommodel,5,0.46398419259739193,0.004412025997701355,0.3385683706375079,0.003687561950966434,0.08090644708070653,0.0007732804856017539,0.8857778246091946,0.002242446250229459,ok
DecisionTree,onehot,mediana,,,1,0.47026140037943404,0.0,0.3259811407046841,0.0,0.0773331430636354,0.0,0.8481940020532275,0.0,ok
DecisionTree,onehot,interpolacao,,selectkbest,1,0.4815427584734193,0.0,0.3589799708294724,0.0,0.09007691913831528,0.0,0.8109751387370178,0.0,ok
MLP,ordinal,mediana,robust,selectfrommodel,5,0.4832432101186829,0.0022313236549052757,0.3548875775767003,0.002337973726896696,0.08379722496060078,0.0010173343232544262,0.8762629364851516,0.0011251554869107063,ok
MLP,ordinal,interpolacao,robust,selectfrommodel,5,0.4832432101186829,0.0022313236549052757,0.3548875775767003,0.002337973726896696,0.08379722496060078,0.0010173343232544262,0.8762629364851516,0.0011251554869107063,ok
DecisionTree,onehot,interpolacao,,,1,0.4840079990752429,0.0,0.3371114526297065,0.0,0.08045443314323296,0.0,0.8405678937677526,0.0,ok
MLP,ordinal,mediana,quantile,selectfrommodel,5,0.4935885179184264,0.005865037216203507,0.360918450154083,0.0034857830001813355,0.08477568826883235,0.0007506356409405666,0.8707866571746197,0.0031979189296062276,ok
MLP,ordinal,interpolacao,quantile,selectfrommodel,5,0.4935885179184264,0.005865037216203507,0.360918450154083,0.0034857830001813355,0.08477568826883235,0.0007506356409405666,0.8707866571746197,0.0031979189296062276,ok
