modelo,enc,imp,norm,sel,rmse_mean,mae_mean,mape_mean,r2_mean
LinearRegression,onehot,interpolacao,robust,selectkbest,0.7405844460203455,0.5517116483976299,0.1285121157813365,0.6151628534755929
DecisionTree,onehot,interpolacao,robust,selectkbest,0.4456014265299678,0.32811503396877384,0.07982821134377434,0.8491928587812421
SVR,onehot,interpolacao,robust,selectkbest,0.6057699701113142,0.4222027200366291,0.09385699152037671,0.8013204419818954
MLP,onehot,interpolacao,minmax,selectkbest,0.44604592862886305,0.33228460663264653,0.07971810127364118,0.8479996419364296
