modelo,enc,imp,norm,norm_original,sel,n_runs,norm_substituida,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,status
DecisionTree,onehot,interpolacao,robust,robust,selectkbest,1,False,0.4456014265299678,0.0,0.32811503396877384,0.0,0.07982821134377434,0.0,0.8491928587812421,0.0,ok
DecisionTree,onehot,interpolacao,minmax,minmax,selectkbest,1,False,0.4456014265299678,0.0,0.32811503396877384,0.0,0.07982821134377434,0.0,0.8491928587812421,0.0,ok
MLP,onehot,interpolacao,minmax,minmax,selectkbest,5,False,0.44604592862886305,0.009356996707847268,0.33228460663264653,0.006130698257990194,0.07971810127364118,0.0013417072546517861,0.8479996419364296,0.00485052291878817,ok
MLP,onehot,interpolacao,robust,robust,selectkbest,5,False,0.4462481241181366,0.005282687322090665,0.3311884281639119,0.005665652054766626,0.0799346456460252,0.0019031712655449692,0.8475063843586138,0.0033652991377716057,ok
SVR,onehot,interpolacao,robust,robust,selectkbest,1,False,0.6057699701113142,0.0,0.4222027200366291,0.0,0.09385699152037671,0.0,0.8013204419818954,0.0,ok
SVR,onehot,interpolacao,minmax,minmax,selectkbest,1,False,0.622907739017335,0.0,0.4326582500815408,0.0,0.09647723026484034,0.0,0.7900237686841276,0.0,ok
LinearRegression,onehot,interpolacao,robust,robust,selectkbest,1,False,0.7405844460203455,0.0,0.5517116483976299,0.0,0.1285121157813365,0.0,0.6151628534755929,0.0,ok
LinearRegression,onehot,interpolacao,minmax,minmax,selectkbest,1,False,0.7405844460204196,0.0,0.551711648397719,0.0,0.12851211578136562,0.0,0.6151628534754993,0.0,ok
